university,year,score_line,avg_score_x,score_diff,is_985,is_211,admission_count
河海大学,2012,546,606,60,0,1,0.0
河海大学,2013,501,583,82,0,1,130.0
河海大学,2014,506,597,91,0,1,0.0
河海大学,2015,525,608,83,0,1,0.0
河南科技大学,2012,546,560,14,0,0,0.0
河南科技大学,2014,506,528,22,0,0,0.0
河南大学,2011,573,596,23,0,0,0.0
河南大学,2013,501,535,34,0,0,18.0
河南大学,2014,506,546,40,0,0,0.0
河南大学,2015,525,567,42,0,0,0.0
河北工业大学,2012,546,584,38,0,1,25.0
河北工业大学,2013,501,551,50,0,1,50.0
河北工业大学,2014,506,569,63,0,1,0.0
河北工业大学,2015,525,588,63,0,1,0.0
河北大学,2014,506,535,29,0,0,0.0
河北大学,2015,525,560,35,0,0,0.0
沈阳药科大学,2011,573,592,19,0,0,0.0
沈阳药科大学,2012,546,564,18,0,0,0.0
沈阳药科大学,2014,506,545,39,0,0,0.0
沈阳药科大学,2015,525,567,42,0,0,0.0
沈阳建筑大学,2012,546,575,29,0,0,40.0
沈阳建筑大学,2013,501,541,40,0,0,40.0
沈阳建筑大学,2014,506,545,39,0,0,0.0
沈阳建筑大学,2015,525,562,37,0,0,0.0
沈阳工业大学,2012,546,553,7,0,0,50.0
沈阳工业大学,2014,506,536,30,0,0,0.0
沈阳工业大学,2015,525,558,33,0,0,0.0
沈阳农业大学,2011,573,581,8,0,0,0.0
沈阳农业大学,2012,546,550,4,0,0,8.0
沈阳农业大学,2013,501,509,8,0,0,0.0
江西财经大学,2011,573,625,52,0,0,0.0
江西财经大学,2012,546,600,54,0,0,42.0
江西财经大学,2013,501,577,76,0,0,39.0
江西财经大学,2014,506,586,80,0,0,0.0
江西理工大学,2013,501,515,14,0,0,0.0
江西中医药大学,2011,573,575,2,0,0,0.0
江苏科技大学,2011,573,601,28,0,0,0.0
江苏科技大学,2012,546,564,18,0,0,0.0
江苏科技大学,2013,501,540,39,0,0,0.0
江苏科技大学,2014,506,556,50,0,0,0.0
江苏科技大学,2015,525,566,41,0,0,0.0
江苏大学,2012,546,579,33,0,0,61.0
江苏大学,2013,501,552,51,0,0,66.0
江苏大学,2014,506,565,59,0,0,0.0
江苏大学,2015,525,584,59,0,0,0.0
江南大学,2011,573,621,48,0,1,0.0
江南大学,2012,546,595,49,0,1,82.0
江南大学,2013,501,574,73,0,1,85.0
江南大学,2014,506,586,80,0,1,0.0
江南大学,2015,525,603,78,0,1,0.0
汕头大学,2012,546,581,35,0,0,17.0
汕头大学,2013,501,557,56,0,0,17.0
汕头大学,2014,506,572,66,0,0,0.0
汕头大学,2015,525,591,66,0,0,0.0
武汉科技大学,2013,501,546,45,0,0,48.0
武汉科技大学,2014,506,562,56,0,0,0.0
武汉理工大学,2011,573,628,55,0,1,0.0
武汉理工大学,2012,546,605,59,0,1,182.0
武汉理工大学,2013,501,572,71,0,1,199.0
武汉理工大学,2015,525,611,86,0,1,0.0
武汉工程大学,2012,546,561,15,0,0,0.0
武汉工程大学,2014,506,532,26,0,0,0.0
武汉工程大学,2015,525,553,28,0,0,0.0
武汉大学,2012,546,637,91,1,1,0.0
武汉大学,2013,501,616,115,1,1,108.0
杭州电子科技大学,2012,546,581,35,0,0,124.0
杭州电子科技大学,2013,501,554,53,0,0,120.0
杭州电子科技大学,2014,506,565,59,0,0,0.0
暨南大学,2011,573,627,54,0,1,0.0
暨南大学,2012,546,612,66,0,1,16.0
暨南大学,2013,501,598,97,0,1,25.0
暨南大学,2014,506,612,106,0,1,0.0
暨南大学,2015,525,623,98,0,1,0.0
新疆大学,2012,546,555,9,0,1,3.0
新疆大学,2013,501,513,12,0,1,0.0
新疆大学,2014,506,523,17,0,1,0.0
新疆大学,2015,525,531,6,0,1,0.0
新疆医科大学,2014,506,551,45,0,0,0.0
新疆医科大学,2015,525,596,71,0,0,0.0
扬州大学,2011,573,600,27,0,0,0.0
扬州大学,2012,546,576,30,0,0,26.0
扬州大学,2013,501,549,48,0,0,22.0
扬州大学,2014,506,561,55,0,0,0.0
扬州大学,2015,525,579,54,0,0,0.0
延边大学,2011,573,596,23,0,1,0.0
延边大学,2012,546,565,19,0,1,0.0
延边大学,2014,506,561,55,0,1,0.0
广西大学,2011,573,598,25,0,1,0.0
广西大学,2012,546,578,32,0,1,35.0
广西大学,2013,501,550,49,0,1,35.0
广西大学,2014,506,566,60,0,1,0.0
广西大学,2015,525,580,55,0,1,0.0
广西医科大学,2011,573,613,40,0,0,0.0
广西医科大学,2012,546,577,31,0,0,12.0
广西医科大学,2013,501,547,46,0,0,14.0
广西医科大学,2014,506,568,62,0,0,0.0
广州大学,2013,501,564,63,0,0,14.0
广州大学,2014,506,565,59,0,0,0.0
广州大学,2015,525,585,60,0,0,0.0
广州医科大学,2011,573,609,36,0,0,0.0
广州医科大学,2012,546,588,42,0,0,0.0
广州医科大学,2013,501,568,67,0,0,10.0
广州医科大学,2014,506,572,66,0,0,0.0
广州医科大学,2015,525,577,52,0,0,0.0
广州中医药大学,2012,546,582,36,0,0,12.0
广州中医药大学,2013,501,567,66,0,0,10.0
广州中医药大学,2014,506,572,66,0,0,0.0
广东工业大学,2013,501,538,37,0,0,21.0
广东工业大学,2014,506,560,54,0,0,0.0
广东工业大学,2015,525,578,53,0,0,0.0
广东外语外贸大学,2011,573,637,64,0,0,0.0
广东外语外贸大学,2012,546,608,62,0,0,15.0
广东外语外贸大学,2013,501,589,88,0,0,15.0
广东外语外贸大学,2014,506,602,96,0,0,0.0
广东外语外贸大学,2015,525,610,85,0,0,0.0
常州大学,2014,506,537,31,0,0,0.0
常州大学,2015,525,555,30,0,0,0.0
山西大学,2013,501,515,14,0,0,0.0
山西大学,2014,506,542,36,0,0,0.0
山东科技大学,2011,573,591,18,0,0,0.0
山东科技大学,2014,506,544,38,0,0,0.0
山东科技大学,2015,525,567,42,0,0,0.0
山东大学（威海）,2011,573,615,42,0,0,0.0
山东大学（威海）,2013,501,577,76,0,0,52.0
山东大学（威海）,2014,506,595,89,0,0,0.0
山东大学,2011,573,637,64,1,1,0.0
山东大学,2012,546,617,71,1,1,130.0
山东大学,2013,501,603,102,1,1,116.0
山东大学,2014,506,611,105,1,1,0.0
对外经济贸易大学,2011,573,661,88,0,1,0.0
对外经济贸易大学,2012,546,643,97,0,1,29.0
对外经济贸易大学,2014,506,636,130,0,1,0.0
安徽财经大学,2013,501,563,62,0,0,39.0
安徽财经大学,2014,506,568,62,0,0,0.0
安徽财经大学,2015,525,585,60,0,0,0.0
安徽大学,2011,573,600,27,0,1,0.0
安徽大学,2013,501,556,55,0,1,12.0
安徽大学,2014,506,572,66,0,1,0.0
安徽大学,2015,525,592,67,0,1,0.0
安徽医科大学,2011,573,613,40,0,0,0.0
安徽医科大学,2012,546,599,53,0,0,6.0
安徽医科大学,2013,501,555,54,0,0,12.0
安徽医科大学,2014,506,573,67,0,0,0.0
安徽医科大学,2015,525,578,53,0,0,0.0
宁波诺丁汉大学,2013,501,541,40,0,0,17.0
宁波诺丁汉大学,2014,506,598,92,0,0,0.0
宁波大学,2013,501,548,47,0,0,26.0
宁波大学,2014,506,542,36,0,0,0.0
宁波大学,2015,525,575,50,0,0,0.0
宁夏大学,2011,573,584,11,0,1,0.0
宁夏大学,2012,546,560,14,0,1,0.0
宁夏大学,2013,501,538,37,0,1,13.0
宁夏大学,2014,506,547,41,0,1,0.0
宁夏大学,2015,525,559,34,0,1,0.0
太原理工大学,2011,573,600,27,0,1,0.0
太原理工大学,2012,546,580,34,0,1,52.0
太原理工大学,2013,501,550,49,0,1,80.0
天津财经大学,2011,573,632,59,0,0,0.0
天津财经大学,2012,546,601,55,0,0,29.0
天津财经大学,2013,501,581,80,0,0,24.0
天津财经大学,2014,506,586,80,0,0,0.0
天津财经大学,2015,525,600,75,0,0,0.0
天津科技大学,2014,506,524,18,0,0,0.0
天津工业大学,2011,573,586,13,0,0,0.0
天津工业大学,2013,501,542,41,0,0,45.0
天津工业大学,2014,506,547,41,0,0,0.0
天津大学,2011,573,652,79,1,1,0.0
天津大学,2012,546,627,81,1,1,106.0
天津大学,2013,501,609,108,1,1,103.0
天津医科大学,2011,573,628,55,0,1,0.0
天津医科大学,2012,546,600,54,0,1,25.0
天津医科大学,2013,501,577,76,0,1,20.0
天津医科大学,2014,506,603,97,0,1,0.0
天津医科大学,2015,525,619,94,0,1,0.0
天津中医药大学,2011,573,592,19,0,0,0.0
天津中医药大学,2012,546,576,30,0,0,5.0
天津中医药大学,2013,501,547,46,0,0,5.0
天津中医药大学,2014,506,543,37,0,0,0.0
大连理工大学,2011,573,640,67,1,1,0.0
大连理工大学,2012,546,620,74,1,1,58.0
大连理工大学,2013,501,602,101,1,1,57.0
大连理工大学,2014,506,602,96,1,1,0.0
大连理工大学,2015,525,614,89,1,1,0.0
大连海事大学,2011,573,622,49,0,1,0.0
大连海事大学,2012,546,592,46,0,1,69.0
大连海事大学,2013,501,567,66,0,1,62.0
大连海事大学,2014,506,578,72,0,1,0.0
大连海事大学,2015,525,596,71,0,1,0.0
大连医科大学,2011,573,627,54,0,0,0.0
大连医科大学,2012,546,576,30,0,0,18.0
大连医科大学,2013,501,557,56,0,0,26.0
