,university,year,major,avg_major_score,stu_count,stu_ranking,score_line,avg_score,score_diff
1554,吉林大学,2015,信息管理与信息系统(信...,618,211.0,5327.0,,,
1555,吉林大学,2013,信息管理与信息系统,585,195.0,6402.0,,,
1556,吉林大学,2015,信息管理与信息系统,602,265.0,8974.0,,,
1559,吉林大学,2015,信息工程,602,265.0,8974.0,,,
1569,合肥工业大学,2013,自动化,572,282.0,9364.0,,,
1571,合肥工业大学,2013,电气工程及其自动化,576,233.0,8382.0,,,
1576,合肥工业大学,2013,电子信息工程,573,225.0,9082.0,,,
1578,合肥工业大学,2013,机械设计制造及其自动化,579,221.0,7680.0,,,
1582,合肥工业大学,2013,信息管理与信息系统,567,254.0,10696.0,,,
1615,南昌大学,2013,通信工程,564,267.0,11529.0,501.0,563.0,62.0
1616,南昌大学,2015,通信工程,596,283.0,10647.0,525.0,593.0,68.0
1617,南昌大学,2015,软件工程,593,295.0,11477.0,525.0,593.0,68.0
1618,南昌大学,2015,自动化,593,295.0,11477.0,525.0,593.0,68.0
1619,南昌大学,2013,电子信息工程,565,293.0,11262.0,501.0,563.0,62.0
1620,南昌大学,2015,电子信息工程,590,281.0,12346.0,525.0,593.0,68.0
1621,南昌大学,2013,机械设计制造及其自动化,565,293.0,11262.0,501.0,563.0,62.0
1622,南昌大学,2015,机械设计制造及其自动化,593,295.0,11477.0,525.0,593.0,68.0
1637,南京邮电大学,2013,计算机科学与技术,561,320.0,12432.0,501.0,567.0,66.0
1640,南京邮电大学,2013,网络工程,558,329.0,13362.0,501.0,567.0,66.0
1642,南京邮电大学,2013,电气工程及其自动化,566,273.0,10969.0,501.0,567.0,66.0
1645,南京邮电大学,2013,电子商务,563,268.0,11797.0,501.0,567.0,66.0
1647,南京邮电大学,2013,电子信息工程,560,293.0,12725.0,501.0,567.0,66.0
1650,南京邮电大学,2013,智能电网信息工程,561,320.0,12432.0,501.0,567.0,66.0
1652,南京邮电大学,2013,光电信息科学与工程,565,293.0,11262.0,501.0,567.0,66.0
1675,南京理工大学,2015,轨道交通信号与控制,617,182.0,5509.0,525.0,618.0,93.0
